ID,DATE,MANUFACTURER,S15,EQUIPMENT_FAILURE
100002,11/23/15,R,30,0
100002,11/24/15,R,27.36,0
100002,11/25/15,R,26.4,0
100002,11/26/15,R,19.92,0
100002,11/27/15,R,18.24,0
100002,11/28/15,R,18.72,0
100002,11/29/15,R,22.56,0
100002,11/30/15,R,18.96,0
100002,12/1/15,R,19.92,0
100002,12/2/15,R,19.44,0
100002,12/3/15,R,19.92,0
100002,12/4/15,R,21.12,0
100002,12/5/15,R,25.2,0
100002,12/6/15,R,29.76,0
100002,12/7/15,R,18.96,0
100002,12/8/15,R,0,0
100002,12/9/15,R,23.736,0
100002,12/10/15,R,26.88,0
100002,12/11/15,R,24.72,0
100002,12/12/15,R,25.2,0
100002,12/13/15,R,25.6608,0
100002,12/14/15,R,20.64,0
100002,12/15/15,R,29.28,0
100002,12/16/15,R,26.64,0
100002,12/17/15,R,23.04,0
100002,12/18/15,R,21.12,0
100002,12/19/15,R,22.32,0
100002,12/20/15,R,25.2,0
100002,12/21/15,R,27.12,0
100002,12/22/15,R,29.76,0
100002,12/23/15,R,20.64,0
100002,12/24/15,R,20.16,0
100002,12/25/15,R,21.12,0
100002,12/26/15,R,20.4,0
100002,12/27/15,R,24.72,0
100002,12/28/15,R,29.04,0
100002,12/29/15,R,21.36,0
100002,12/30/15,R,23.52,0
100002,12/31/15,R,24.48,0
100002,1/1/16,R,29.28,0
100002,1/2/16,R,19.44,0
100002,1/3/16,R,24.96,0
100002,1/4/16,R,22.56,0
100002,1/5/16,R,26.64,0
100002,1/6/16,R,30,0
100002,1/7/16,R,18,0
100002,1/8/16,R,22.116,0
100002,1/9/16,R,24.96,0
100002,1/10/16,R,18,0
100002,1/11/16,R,13.44,0
100002,1/12/16,R,13.2696,0
100002,1/13/16,R,11.0808,0
100002,1/14/16,R,16.2624,0
100002,1/15/16,R,14.2464,0
100002,1/16/16,R,10.752,0
100002,1/17/16,R,14.6496,0
100002,1/18/16,R,0,0
100002,1/19/16,R,8.184,0
100002,1/20/16,R,10.836,0
100002,1/21/16,R,10.5792,0
100002,1/22/16,R,16.5528,0
100002,1/23/16,R,14.112,0
100002,1/24/16,R,11.4912,0
100002,1/25/16,R,15.456,0
100002,1/26/16,R,13.5744,0
100002,1/27/16,R,12.768,0
100002,1/28/16,R,13.1712,0
100002,1/29/16,R,0,0
100002,1/30/16,R,0,0
100002,1/31/16,R,17.2608,0
100002,2/1/16,R,13.3056,0
100002,2/2/16,R,15.456,0
100002,2/3/16,R,10.428,0
100002,2/4/16,R,13.728,0
100002,2/5/16,R,16.368,0
100002,2/6/16,R,12.012,0
100002,2/7/16,R,14.388,0
100002,2/8/16,R,15.312,0
100002,2/9/16,R,10.692,0
100002,2/10/16,R,12.276,0
100002,2/11/16,R,15.048,0
100002,2/12/16,R,11.748,0
100002,2/13/16,R,15.4224,0
100002,2/14/16,R,11.484,0
100002,2/15/16,R,11.664,0
100002,2/16/16,R,11.1456,0
100002,2/17/16,R,12.0528,0
100002,2/18/16,R,14.256,0
100002,2/19/16,R,10.6272,0
100002,2/20/16,R,14.124,0
100002,2/21/16,R,9.9792,0
100002,2/22/16,R,15.8112,0
100002,2/23/16,R,11.22,0
100002,2/24/16,R,10.032,0
100002,2/25/16,R,15.048,0
100002,2/26/16,R,11.664,0
100002,2/27/16,R,15.444,0
100002,2/28/16,R,11.9808,0
100002,2/29/16,R,12.5712,0
100002,3/1/16,R,11.664,0
100002,3/2/16,R,10.7568,0
100002,3/3/16,R,13.608,0
100002,3/4/16,R,15.552,0
100002,3/5/16,R,10.4976,0
100002,3/6/16,R,9.8496,0
100002,3/7/16,R,15.4224,0
100002,3/8/16,R,9.9792,0
100002,3/9/16,R,16.2,0
100002,3/10/16,R,14.2464,0
100002,3/11/16,R,15.4224,0
100002,3/12/16,R,11.2752,0
100002,3/13/16,R,16.104,0
100002,3/14/16,R,10.8864,0
100002,3/15/16,R,12.1824,0
100002,3/16/16,R,10.3032,0
100002,3/17/16,R,15.5184,0
100002,3/18/16,R,11.2752,0
100002,3/19/16,R,15.3912,0
100002,3/20/16,R,9.024,0
100002,3/21/16,R,12.7008,0
100002,3/22/16,R,9.72,0
100002,3/23/16,R,13.608,0
100002,3/24/16,R,13.356,0
100002,3/25/16,R,14.8824,0
100002,3/26/16,R,11.9568,0
100002,3/27/16,R,12.9024,0
100002,3/28/16,R,15.1368,0
100002,3/29/16,R,15.5184,0
100002,3/30/16,R,14.3736,0
100002,3/31/16,R,13.6104,0
100002,4/1/16,R,11.448,0
100002,4/2/16,R,10.3032,0
100002,4/3/16,R,15.5184,0
100002,4/4/16,R,10.4304,0
100002,4/5/16,R,10.5576,0
100002,4/6/16,R,9.54,0
100002,4/7/16,R,15.264,0
100002,4/8/16,R,11.3208,0
100002,4/9/16,R,12.5928,0
100002,4/10/16,R,14.8512,0
100002,4/11/16,R,11.448,0
100002,4/12/16,R,12.6048,0
100002,4/13/16,R,13.6032,0
100002,4/14/16,R,9.7344,0
100002,4/15/16,R,14.4768,0
100002,4/16/16,R,12.7296,0
100002,4/17/16,R,9.12,0
100002,4/18/16,R,13.2,0
100002,4/19/16,R,10.8192,0
100002,4/20/16,R,14.4648,0
100002,4/21/16,R,11.4072,0
100002,4/22/16,R,10.2528,0
100002,4/23/16,R,13.248,0
100002,4/24/16,R,10.9872,0
100002,4/25/16,R,11.0544,0
100002,4/26/16,R,9.4752,0
100002,4/27/16,R,12.5856,0
100002,4/28/16,R,11.5248,0
100002,4/29/16,R,14.0544,0
100002,4/30/16,R,9.9264,0
100002,5/1/16,R,11.592,0
100002,5/2/16,R,13.392,0
100002,5/3/16,R,13.176,0
100002,5/4/16,R,11.34,0
100002,5/5/16,R,8.2368,0
100002,5/6/16,R,10.476,0
100002,5/7/16,R,8.448,0
100002,5/8/16,R,12.7968,0
100002,5/9/16,R,9.4944,0
100002,5/10/16,R,9.6768,0
100002,5/11/16,R,9.804,0
100002,5/12/16,R,12.7968,0
100002,5/13/16,R,12.144,0
100002,5/14/16,R,10.1376,0
100002,5/15/16,R,0,0
100002,5/16/16,R,4.032,0
100002,5/17/16,R,8.9496,0
100002,5/18/16,R,10.2168,0
100002,5/19/16,R,6.9264,0
100002,5/20/16,R,12.9,0
100002,5/21/16,R,10.2432,0
100002,5/22/16,R,9.2928,0
100002,5/23/16,R,10.2168,0
100002,5/24/16,R,9.9264,0
100002,5/25/16,R,10.6656,0
100002,5/26/16,R,9.7008,0
100002,5/27/16,R,8.3664,0
100002,5/28/16,R,10.4832,0
100002,5/29/16,R,10.3824,0
100002,5/30/16,R,12.0048,0
100002,5/31/16,R,10.5288,0
100002,6/1/16,R,9.1512,0
100002,6/2/16,R,10.6272,0
100002,6/3/16,R,8.758593,0
100002,6/4/16,R,8.364,0
100002,6/5/16,R,8.64,0
100002,6/6/16,R,7.776,0
100002,6/7/16,R,8.352,0
